                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.2646,                0.74457,                 1.0686,                0.75057,                0.55309,                0.61306,                0.36286,                 1.2853,                0.70594,                 1.0761,               0.006634,               0.006634,               0.006634
                    104,                 1.2648,                0.74355,                 1.0697,                0.74941,                0.55146,                0.61255,                0.36261,                 1.2853,                0.70579,                 1.0761,               0.006601,               0.006601,               0.006601
                    105,                 1.2645,                0.74336,                 1.0681,                0.74779,                 0.5518,                0.61279,                0.36377,                 1.2854,                0.70559,                 1.0761,               0.006568,               0.006568,               0.006568
                    106,                 1.2645,                0.74277,                 1.0682,                0.74616,                0.55267,                0.61319,                0.36362,                 1.2856,                0.70536,                  1.076,               0.006535,               0.006535,               0.006535
                    107,                 1.2644,                0.74261,                 1.0676,                0.74683,                0.55304,                0.61309,                0.36391,                 1.2857,                0.70535,                  1.076,               0.006502,               0.006502,               0.006502
                    108,                  1.261,                0.74095,                  1.064,                0.74835,                0.55183,                 0.6135,                 0.3637,                 1.2858,                0.70513,                 1.0757,               0.006469,               0.006469,               0.006469
                    109,                 1.2631,                0.74112,                 1.0673,                0.74843,                0.55225,                0.61277,                0.36356,                  1.286,                  0.705,                 1.0757,               0.006436,               0.006436,               0.006436
                    110,                 1.2628,                0.74121,                 1.0651,                0.74988,                0.55275,                0.61284,                0.36382,                 1.2859,                0.70488,                 1.0754,               0.006403,               0.006403,               0.006403
                    111,                 1.2632,                0.74158,                 1.0669,                0.75078,                0.55188,                0.61325,                0.36417,                 1.2859,                0.70457,                 1.0753,                0.00637,                0.00637,                0.00637
                    112,                 1.2607,                 0.7391,                 1.0643,                0.62389,                0.56774,                0.61421,                0.36522,                 1.2861,                 0.7045,                 1.0754,               0.006337,               0.006337,               0.006337
                    113,                 1.2607,                0.73905,                 1.0651,                0.62861,                0.57332,                0.61394,                0.36473,                  1.286,                0.70418,                 1.0752,               0.006304,               0.006304,               0.006304
                    114,                 1.2611,                0.73913,                 1.0659,                0.65139,                0.55113,                0.61353,                0.36515,                  1.286,                0.70393,                 1.0751,               0.006271,               0.006271,               0.006271
                    115,                 1.2606,                0.73877,                 1.0665,                0.65497,                 0.5494,                 0.6131,                0.36433,                 1.2857,                0.70388,                 1.0751,               0.006238,               0.006238,               0.006238
                    116,                 1.2625,                0.73813,                 1.0662,                0.65143,                0.55221,                0.61251,                0.36361,                 1.2858,                0.70379,                 1.0751,               0.006205,               0.006205,               0.006205
                    117,                 1.2612,                0.73755,                 1.0657,                0.75442,                0.55083,                0.61134,                0.36296,                 1.2861,                 0.7037,                 1.0751,               0.006172,               0.006172,               0.006172
                    118,                 1.2599,                0.73771,                 1.0661,                0.75485,                0.55016,                0.61191,                0.36311,                 1.2861,                0.70354,                 1.0752,               0.006139,               0.006139,               0.006139
                    119,                 1.2579,                0.73497,                 1.0645,                 0.7521,                0.55188,                0.61146,                0.36298,                 1.2862,                0.70342,                 1.0753,               0.006106,               0.006106,               0.006106
                    120,                 1.2581,                0.73603,                 1.0661,                0.75146,                0.55205,                0.61091,                0.36296,                 1.2864,                0.70334,                 1.0754,               0.006073,               0.006073,               0.006073
                    121,                 1.2581,                0.73472,                 1.0644,                0.64956,                0.55233,                0.61089,                0.36251,                 1.2863,                0.70329,                 1.0753,                0.00604,                0.00604,                0.00604
                    122,                 1.2591,                0.73506,                 1.0642,                0.75165,                 0.5523,                0.61109,                0.36266,                 1.2862,                0.70316,                 1.0752,               0.006007,               0.006007,               0.006007
                    123,                 1.2592,                0.73442,                 1.0614,                0.75211,                0.55218,                0.61017,                0.36201,                 1.2864,                0.70299,                 1.0749,               0.005974,               0.005974,               0.005974
