                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.83687,                0.53784,                0.86596,                0.89267,                0.86354,                0.93339,                0.71514,                 0.7983,                0.47666,                0.85867,                0.00703,                0.00703,                0.00703
                     92,                0.82867,                0.53046,                0.86574,                0.89634,                0.86168,                0.93474,                0.71349,                0.80233,                0.47479,                0.85936,               0.006997,               0.006997,               0.006997
                     93,                0.83441,                0.53646,                0.86453,                 0.8953,                0.86393,                0.93384,                0.71258,                0.80351,                  0.479,                0.85906,               0.006964,               0.006964,               0.006964
                     94,                0.82189,                0.53021,                0.86709,                0.89762,                0.85927,                0.93333,                0.71433,                0.80177,                0.47672,                0.85912,               0.006931,               0.006931,               0.006931
                     95,                0.81544,                0.52109,                0.86643,                0.86939,                0.88261,                 0.9344,                0.71253,                0.80173,                 0.4735,                0.85932,               0.006898,               0.006898,               0.006898
                     96,                0.81824,                0.51938,                0.86131,                0.89174,                0.87114,                0.93612,                0.71363,                0.80288,                0.47284,                0.85957,               0.006865,               0.006865,               0.006865
                     97,                0.82913,                0.53342,                0.86414,                0.88462,                0.87667,                 0.9349,                0.71304,                 0.8017,                0.47426,                0.85939,               0.006832,               0.006832,               0.006832
                     98,                0.80743,                0.51164,                0.86046,                0.88386,                0.87574,                0.93523,                0.71337,                0.80243,                0.47534,                 0.8589,               0.006799,               0.006799,               0.006799
                     99,                0.82099,                0.51522,                0.86028,                0.88315,                0.87168,                0.93616,                0.71622,                 0.7999,                0.47316,                0.85835,               0.006766,               0.006766,               0.006766
                    100,                0.81395,                0.51028,                0.86108,                0.89525,                 0.8629,                0.93724,                0.71827,                0.79858,                0.46708,                0.85785,               0.006733,               0.006733,               0.006733
                    101,                0.82015,                0.51559,                0.86871,                0.89498,                0.86568,                0.93804,                0.71806,                0.79893,                 0.4649,                  0.858,                 0.0067,                 0.0067,                 0.0067
                    102,                0.81443,                 0.5102,                0.86119,                0.88837,                0.87601,                0.93978,                0.71932,                0.79874,                0.46251,                0.85795,               0.006667,               0.006667,               0.006667
                    103,                0.81684,                0.50706,                0.86392,                0.89422,                0.87448,                0.93933,                0.71992,                0.79508,                0.46326,                0.85761,               0.006634,               0.006634,               0.006634
                    104,                0.81482,                0.50948,                0.86503,                0.90234,                0.86519,                0.93912,                0.72011,                0.79607,                0.46177,                0.85735,               0.006601,               0.006601,               0.006601
                    105,                0.80911,                0.50032,                0.86199,                0.89684,                0.86884,                0.93805,                0.71891,                0.79701,                0.46099,                0.85759,               0.006568,               0.006568,               0.006568
                    106,                0.81846,                0.50301,                0.86365,                0.89763,                0.86905,                0.93832,                0.72033,                0.79475,                0.46127,                0.85705,               0.006535,               0.006535,               0.006535
                    107,                0.81538,                 0.5079,                0.86102,                0.89953,                0.87282,                0.93818,                0.72128,                 0.7961,                0.46319,                0.85843,               0.006502,               0.006502,               0.006502
                    108,                0.80726,                0.49744,                0.86095,                0.90328,                0.86974,                0.94013,                0.72207,                0.79652,                0.45935,                0.85825,               0.006469,               0.006469,               0.006469
                    109,                 0.8067,                0.48886,                0.86403,                0.90627,                0.86592,                 0.9404,                 0.7213,                0.79711,                 0.4592,                 0.8578,               0.006436,               0.006436,               0.006436
                    110,                0.80617,                0.49456,                0.85905,                0.90758,                0.86735,                0.94108,                0.72092,                0.79621,                0.45672,                0.85818,               0.006403,               0.006403,               0.006403
                    111,                0.80232,                0.49009,                0.86246,                0.90377,                0.86928,                0.94066,                0.72099,                0.79579,                0.45888,                0.85767,                0.00637,                0.00637,                0.00637
