                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.2164,                0.79578,                 1.0025,                 0.5341,                0.41919,                0.41582,                0.24307,                  1.432,                 1.0367,                 1.0662,               0.006667,               0.006667,               0.006667
                    103,                 1.2146,                0.78875,                0.99932,                0.53592,                0.41877,                0.41629,                0.24339,                 1.4307,                 1.0364,                 1.0654,               0.006634,               0.006634,               0.006634
                    104,                 1.2149,                0.78941,                 1.0013,                0.52932,                0.42218,                0.41607,                0.24307,                 1.4318,                 1.0365,                 1.0657,               0.006601,               0.006601,               0.006601
                    105,                 1.2127,                0.78592,                  1.001,                0.53315,                0.41996,                0.41631,                0.24311,                 1.4313,                 1.0364,                 1.0656,               0.006568,               0.006568,               0.006568
                    106,                 1.2113,                0.78153,                0.99939,                  0.535,                0.42036,                 0.4163,                0.24346,                 1.4331,                 1.0371,                 1.0661,               0.006535,               0.006535,               0.006535
                    107,                 1.2113,                0.78101,                 1.0009,                0.53506,                 0.4183,                0.41533,                0.24314,                  1.434,                 1.0386,                 1.0668,               0.006502,               0.006502,               0.006502
                    108,                 1.2089,                0.77744,                0.99924,                0.52553,                0.42229,                0.41447,                0.24256,                  1.434,                 1.0397,                  1.067,               0.006469,               0.006469,               0.006469
                    109,                 1.2073,                0.77942,                 0.9966,                0.52985,                 0.4181,                0.41367,                 0.2419,                 1.4347,                  1.041,                 1.0672,               0.006436,               0.006436,               0.006436
                    110,                  1.209,                0.77746,                0.99891,                0.53257,                0.41783,                 0.4141,                0.24191,                 1.4344,                  1.041,                 1.0669,               0.006403,               0.006403,               0.006403
                    111,                 1.2081,                0.77512,                0.99886,                0.53024,                0.42083,                0.41439,                0.24226,                 1.4349,                 1.0418,                 1.0669,                0.00637,                0.00637,                0.00637
                    112,                  1.203,                0.77091,                0.99775,                0.53332,                0.41959,                0.41425,                0.24198,                 1.4341,                 1.0413,                 1.0666,               0.006337,               0.006337,               0.006337
                    113,                 1.2046,                0.76988,                0.99547,                 0.5322,                0.42231,                0.41435,                0.24208,                 1.4339,                 1.0417,                 1.0665,               0.006304,               0.006304,               0.006304
                    114,                 1.1964,                 0.7632,                0.99587,                 0.5292,                0.42364,                0.41399,                0.24208,                 1.4335,                 1.0424,                 1.0663,               0.006271,               0.006271,               0.006271
                    115,                 1.1949,                0.76428,                0.99553,                0.53231,                0.42186,                0.41369,                0.24184,                 1.4335,                 1.0428,                 1.0661,               0.006238,               0.006238,               0.006238
                    116,                 1.1992,                0.76557,                0.99525,                0.53281,                0.42275,                0.41398,                0.24201,                 1.4336,                  1.043,                 1.0663,               0.006205,               0.006205,               0.006205
                    117,                 1.1926,                0.75895,                0.99331,                0.53354,                0.42244,                0.41429,                0.24206,                 1.4334,                 1.0429,                 1.0662,               0.006172,               0.006172,               0.006172
                    118,                 1.1908,                0.75709,                 0.9933,                0.53342,                0.42167,                0.41378,                0.24197,                 1.4337,                 1.0429,                 1.0663,               0.006139,               0.006139,               0.006139
                    119,                 1.1895,                 0.7538,                0.99114,                0.52883,                0.42478,                0.41348,                0.24175,                 1.4339,                 1.0431,                 1.0665,               0.006106,               0.006106,               0.006106
                    120,                 1.1853,                0.74971,                0.98854,                0.52589,                 0.4268,                0.41368,                0.24186,                  1.434,                 1.0439,                 1.0664,               0.006073,               0.006073,               0.006073
                    121,                  1.191,                0.75341,                0.99248,                0.52353,                0.42741,                 0.4136,                0.24153,                 1.4345,                 1.0446,                 1.0665,                0.00604,                0.00604,                0.00604
                    122,                 1.1843,                0.74711,                0.99171,                0.52402,                0.42633,                0.41309,                0.24139,                 1.4346,                 1.0455,                 1.0667,               0.006007,               0.006007,               0.006007
